"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"pin_1";"pin_2";"link";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"11";"39";"contact_signal_NC_1";"A";"approved";"748.36";"564.85";"1192.0";"871.0";"-K17.4M";"32";"31";"/30a.5";"30a";"17";"= 413";"+ 400A";"forming machine B";"transverse belt";"413M17"
"12";"49";"contact_signal_NC_1";"A";"approved";"703.0";"564.85";"1192.0";"871.0";"-K3.1M";"22";"21";"/41.5";"41";"3";"= 416";"+ 400A";"equelizing rolls";"height adjustment";"416M3"
"13";"49";"contact_signal_NC_1";"A";"approved";"612.29";"564.85";"1192.0";"871.0";"-K3.2M";"22";"21";"/41.5";"41";"3";"= 416";"+ 400A";"equelizing rolls";"height adjustment";"416M3"
"14";"49";"contact_signal_NC_1";"A";"approved";"884.42";"564.85";"1192.0";"871.0";"-K3.3M";"22";"21";"/41.6";"41";"3";"= 416";"+ 400A";"equelizing rolls";"height adjustment";"416M3"
"15";"49";"contact_signal_NC_1";"A";"approved";"793.71";"564.85";"1192.0";"871.0";"-K3.4M";"22";"21";"/41.7";"41";"3";"= 416";"+ 400A";"equelizing rolls";"height adjustment";"416M3"
"16";"50";"contact_signal_NC_1";"A";"approved";"725.68";"576.19";"1192.0";"871.0";"-K6.2M";"22";"21";"/42.7";"42";"3";"= 416";"+ 400A";"";"width adjustment side traverse rolls";"416M6"
"17";"50";"contact_signal_NC_1";"A";"approved";"839.06";"576.19";"1192.0";"871.0";"-K6.1M";"22";"21";"/42.6";"42";"3";"= 416";"+ 400A";"";"width adjustment side traverse rolls";"416M6"
"18";"51";"contact_signal_NC_1";"A";"approved";"725.68";"576.19";"1192.0";"871.0";"-K25.2M";"22";"21";"/43.7";"43";"3";"= 416";"+ 400A";"";"width adjustment equalizing rolls";"416M25"
"19";"51";"contact_signal_NC_1";"A";"approved";"839.06";"576.19";"1192.0";"871.0";"-K25.1M";"22";"21";"/43.6";"43";"3";"= 416";"+ 400A";"";"width adjustment equalizing rolls";"416M25"
"20";"61";"contact_signal_NC_1";"A";"approved";"408.2";"564.85";"1192.0";"871.0";"-K17.1M";"22";"21";"/52a.2";"52a";"26";"= 418";"+ 400A";"forming machine D";"transverse belt";"418M17"
"21";"61";"contact_signal_NC_1";"A";"approved";"294.81";"564.85";"1192.0";"871.0";"-K17.2M";"22";"21";"/52a.3";"52a";"26";"= 418";"+ 400A";"forming machine D";"transverse belt";"418M17"
"22";"61";"contact_signal_NC_1";"A";"approved";"691.66";"564.85";"1192.0";"871.0";"-K17.3M";"22";"21";"/52a.4";"52a";"26";"= 418";"+ 400A";"forming machine D";"transverse belt";"418M17"
"23";"61";"contact_signal_NC_1";"A";"approved";"578.28";"564.85";"1192.0";"871.0";"-K17.4M";"22";"21";"/52a.5";"52a";"26";"= 418";"+ 400A";"forming machine D";"transverse belt";"418M17"
"24";"61";"contact_signal_NC_1";"A";"approved";"805.05";"564.85";"1192.0";"871.0";"-K17.4M";"31";"32";"/52a.5";"52a";"26";"= 418";"+ 400A";"forming machine D";"transverse belt";"418M17"
"25";"70";"contact_signal_NC_1";"A";"approved";"521.58";"528.0";"1192.0";"871.0";"-K2.2M";"31";"32";"/59b.3";"59b";"26";"= 418";"+ 400A";"";"TEXPAN filter fan";"418M4"
"26";"70";"contact_signal_NC_1";"A";"approved";"408.2";"528.0";"1192.0";"871.0";"-K2.3M";"31";"32";"/59b.4";"59b";"26";"= 418";"+ 400A";"";"TEXPAN filter fan";"418M4"
